GeneID	Gene	GeneAliases	GeneType	GeneDescription	Pathways	Diseases
5597	MAPK6	ERK3|HsT17250|PRKM6|p97MAPK	protein-coding	mitogen-activated protein kinase 6	hsa04657[IL-17 signaling pathway]	.
55970	GNG12	.	protein-coding	G protein subunit gamma 12	hsa04010[MAPK signaling pathway]&hsa04014[Ras signaling pathway]&hsa04062[Chemokine signaling pathway]&hsa04151[PI3K-Akt signaling pathway]&hsa04371[Apelin signaling pathway]&hsa04713[Circadian entrainment]&hsa04723[Retrograde endocannabinoid signaling]&hsa04724[Glutamatergic synapse]&hsa04725[Cholinergic synapse]&hsa04726[Serotonergic synapse]&hsa04727[GABAergic synapse]&hsa04728[Dopaminergic synapse]&hsa04810[Regulation of actin cytoskeleton]&hsa04926[Relaxin signaling pathway]&hsa05032[Morphine addiction]&hsa05034[Alcoholism]&hsa05163[Human cytomegalovirus infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05200[Pathways in cancer]	hsa05032[Morphine addiction]&hsa05034[Alcoholism]&hsa05163[Human cytomegalovirus infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05200[Pathways in cancer]
55971	BAIAP2L1	IRTKS	protein-coding	BAR/IMD domain containing adaptor protein 2 like 1	hsa05130[Pathogenic Escherichia coli infection]	hsa05130[Pathogenic Escherichia coli infection]
5598	MAPK7	BMK1|ERK4|ERK5|PRKM7	protein-coding	mitogen-activated protein kinase 7	hsa04010[MAPK signaling pathway]&hsa04540[Gap junction]&hsa04657[IL-17 signaling pathway]&hsa04722[Neurotrophin signaling pathway]&hsa04912[GnRH signaling pathway]&hsa04921[Oxytocin signaling pathway]&hsa05206[MicroRNAs in cancer]&hsa05418[Fluid shear stress and atherosclerosis]	hsa05206[MicroRNAs in cancer]&hsa05418[Fluid shear stress and atherosclerosis]
5599	MAPK8	JNK|JNK-46|JNK1|JNK1A2|JNK21B1/2|PRKM8|SAPK1|SAPK1c	protein-coding	mitogen-activated protein kinase 8	hsa01522[Endocrine resistance]&hsa04010[MAPK signaling pathway]&hsa04012[ErbB signaling pathway]&hsa04014[Ras signaling pathway]&hsa04024[cAMP signaling pathway]&hsa04068[FoxO signaling pathway]&hsa04071[Sphingolipid signaling pathway]&hsa04137[Mitophagy - animal]&hsa04140[Autophagy - animal]&hsa04141[Protein processing in endoplasmic reticulum]&hsa04210[Apoptosis]&hsa04215[Apoptosis - multiple species]&hsa04217[Necroptosis]&hsa04310[Wnt signaling pathway]&hsa04380[Osteoclast differentiation]&hsa04510[Focal adhesion]&hsa04530[Tight junction]&hsa04620[Toll-like receptor signaling pathway]&hsa04621[NOD-like receptor signaling pathway]&hsa04622[RIG-I-like receptor signaling pathway]&hsa04625[C-type lectin receptor signaling pathway]&hsa04657[IL-17 signaling pathway]&hsa04658[Th1 and Th2 cell differentiation]&hsa04659[Th17 cell differentiation]&hsa04660[T cell receptor signaling pathway]&hsa04664[Fc epsilon RI signaling pathway]&hsa04668[TNF signaling pathway]&hsa04722[Neurotrophin signaling pathway]&hsa04723[Retrograde endocannabinoid signaling]&hsa04728[Dopaminergic synapse]&hsa04750[Inflammatory mediator regulation of TRP channels]&hsa04910[Insulin signaling pathway]&hsa04912[GnRH signaling pathway]&hsa04914[Progesterone-mediated oocyte maturation]&hsa04917[Prolactin signaling pathway]&hsa04920[Adipocytokine signaling pathway]&hsa04926[Relaxin signaling pathway]&hsa04930[Type II diabetes mellitus]&hsa04931[Insulin resistance]&hsa04932[Non-alcoholic fatty liver disease (NAFLD)]&hsa04933[AGE-RAGE signaling pathway in diabetic complications]&hsa04935[Growth hormone synthesis, secretion and action]&hsa05010[Alzheimer disease]&hsa05012[Parkinson disease]&hsa05016[Huntington disease]&hsa05017[Spinocerebellar ataxia]&hsa05120[Epithelial cell signaling in Helicobacter pylori infection]&hsa05130[Pathogenic Escherichia coli infection]&hsa05131[Shigellosis]&hsa05132[Salmonella infection]&hsa05133[Pertussis]&hsa05135[Yersinia infection]&hsa05142[Chagas disease (American trypanosomiasis)]&hsa05145[Toxoplasmosis]&hsa05152[Tuberculosis]&hsa05161[Hepatitis B]&hsa05162[Measles]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05169[Epstein-Barr virus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05200[Pathways in cancer]&hsa05210[Colorectal cancer]&hsa05212[Pancreatic cancer]&hsa05231[Choline metabolism in cancer]&hsa05418[Fluid shear stress and atherosclerosis]	hsa01522[Endocrine resistance]&hsa04930[Type II diabetes mellitus]&hsa04931[Insulin resistance]&hsa04932[Non-alcoholic fatty liver disease (NAFLD)]&hsa04933[AGE-RAGE signaling pathway in diabetic complications]&hsa05010[Alzheimer disease]&hsa05012[Parkinson disease]&hsa05016[Huntington disease]&hsa05017[Spinocerebellar ataxia]&hsa05120[Epithelial cell signaling in Helicobacter pylori infection]&hsa05130[Pathogenic Escherichia coli infection]&hsa05131[Shigellosis]&hsa05132[Salmonella infection]&hsa05133[Pertussis]&hsa05135[Yersinia infection]&hsa05142[Chagas disease (American trypanosomiasis)]&hsa05145[Toxoplasmosis]&hsa05152[Tuberculosis]&hsa05161[Hepatitis B]&hsa05162[Measles]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05169[Epstein-Barr virus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05200[Pathways in cancer]&hsa05210[Colorectal cancer]&hsa05212[Pancreatic cancer]&hsa05231[Choline metabolism in cancer]&hsa05418[Fluid shear stress and atherosclerosis]
55998	NXF5	.	protein-coding	nuclear RNA export factor 5	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03013[RNA transport]&hsa03015[mRNA surveillance pathway]&hsa05164[Influenza A]&hsa05168[Herpes simplex virus 1 infection]	hsa05164[Influenza A]&hsa05168[Herpes simplex virus 1 infection]
5600	MAPK11	P38B|P38BETA2|PRKM11|SAPK2|SAPK2B|p38-2|p38Beta	protein-coding	mitogen-activated protein kinase 11	hsa01522[Endocrine resistance]&hsa04010[MAPK signaling pathway]&hsa04015[Rap1 signaling pathway]&hsa04068[FoxO signaling pathway]&hsa04071[Sphingolipid signaling pathway]&hsa04114[Oocyte meiosis]&hsa04218[Cellular senescence]&hsa04261[Adrenergic signaling in cardiomyocytes]&hsa04370[VEGF signaling pathway]&hsa04380[Osteoclast differentiation]&hsa04550[Signaling pathways regulating pluripotency of stem cells]&hsa04611[Platelet activation]&hsa04620[Toll-like receptor signaling pathway]&hsa04621[NOD-like receptor signaling pathway]&hsa04622[RIG-I-like receptor signaling pathway]&hsa04625[C-type lectin receptor signaling pathway]&hsa04657[IL-17 signaling pathway]&hsa04658[Th1 and Th2 cell differentiation]&hsa04659[Th17 cell differentiation]&hsa04660[T cell receptor signaling pathway]&hsa04664[Fc epsilon RI signaling pathway]&hsa04668[TNF signaling pathway]&hsa04670[Leukocyte transendothelial migration]&hsa04714[Thermogenesis]&hsa04722[Neurotrophin signaling pathway]&hsa04723[Retrograde endocannabinoid signaling]&hsa04728[Dopaminergic synapse]&hsa04750[Inflammatory mediator regulation of TRP channels]&hsa04912[GnRH signaling pathway]&hsa04914[Progesterone-mediated oocyte maturation]&hsa04917[Prolactin signaling pathway]&hsa04926[Relaxin signaling pathway]&hsa04933[AGE-RAGE signaling pathway in diabetic complications]&hsa04935[Growth hormone synthesis, secretion and action]&hsa05014[Amyotrophic lateral sclerosis (ALS)]&hsa05120[Epithelial cell signaling in Helicobacter pylori infection]&hsa05130[Pathogenic Escherichia coli infection]&hsa05131[Shigellosis]&hsa05132[Salmonella infection]&hsa05133[Pertussis]&hsa05135[Yersinia infection]&hsa05140[Leishmaniasis]&hsa05142[Chagas disease (American trypanosomiasis)]&hsa05145[Toxoplasmosis]&hsa05152[Tuberculosis]&hsa05161[Hepatitis B]&hsa05163[Human cytomegalovirus infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05169[Epstein-Barr virus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05205[Proteoglycans in cancer]&hsa05235[PD-L1 expression and PD-1 checkpoint pathway in cancer]&hsa05418[Fluid shear stress and atherosclerosis]	hsa01522[Endocrine resistance]&hsa04933[AGE-RAGE signaling pathway in diabetic complications]&hsa05014[Amyotrophic lateral sclerosis (ALS)]&hsa05120[Epithelial cell signaling in Helicobacter pylori infection]&hsa05130[Pathogenic Escherichia coli infection]&hsa05131[Shigellosis]&hsa05132[Salmonella infection]&hsa05133[Pertussis]&hsa05135[Yersinia infection]&hsa05140[Leishmaniasis]&hsa05142[Chagas disease (American trypanosomiasis)]&hsa05145[Toxoplasmosis]&hsa05152[Tuberculosis]&hsa05161[Hepatitis B]&hsa05163[Human cytomegalovirus infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05169[Epstein-Barr virus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05205[Proteoglycans in cancer]&hsa05235[PD-L1 expression and PD-1 checkpoint pathway in cancer]&hsa05418[Fluid shear stress and atherosclerosis]
56000	NXF3	.	protein-coding	nuclear RNA export factor 3	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03013[RNA transport]&hsa03015[mRNA surveillance pathway]&hsa05164[Influenza A]&hsa05168[Herpes simplex virus 1 infection]	hsa05164[Influenza A]&hsa05168[Herpes simplex virus 1 infection]
56001	NXF2	CT39|TAPL-2|TCP11X2	protein-coding	nuclear RNA export factor 2	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03013[RNA transport]&hsa03015[mRNA surveillance pathway]&hsa05164[Influenza A]&hsa05168[Herpes simplex virus 1 infection]	hsa05164[Influenza A]&hsa05168[Herpes simplex virus 1 infection]
5601	MAPK9	JNK-55|JNK2|JNK2A|JNK2ALPHA|JNK2B|JNK2BETA|PRKM9|SAPK|SAPK1a|p54a|p54aSAPK	protein-coding	mitogen-activated protein kinase 9	hsa01522[Endocrine resistance]&hsa04010[MAPK signaling pathway]&hsa04012[ErbB signaling pathway]&hsa04014[Ras signaling pathway]&hsa04024[cAMP signaling pathway]&hsa04068[FoxO signaling pathway]&hsa04071[Sphingolipid signaling pathway]&hsa04137[Mitophagy - animal]&hsa04140[Autophagy - animal]&hsa04141[Protein processing in endoplasmic reticulum]&hsa04210[Apoptosis]&hsa04215[Apoptosis - multiple species]&hsa04217[Necroptosis]&hsa04310[Wnt signaling pathway]&hsa04380[Osteoclast differentiation]&hsa04510[Focal adhesion]&hsa04530[Tight junction]&hsa04620[Toll-like receptor signaling pathway]&hsa04621[NOD-like receptor signaling pathway]&hsa04622[RIG-I-like receptor signaling pathway]&hsa04625[C-type lectin receptor signaling pathway]&hsa04657[IL-17 signaling pathway]&hsa04658[Th1 and Th2 cell differentiation]&hsa04659[Th17 cell differentiation]&hsa04660[T cell receptor signaling pathway]&hsa04664[Fc epsilon RI signaling pathway]&hsa04668[TNF signaling pathway]&hsa04722[Neurotrophin signaling pathway]&hsa04723[Retrograde endocannabinoid signaling]&hsa04728[Dopaminergic synapse]&hsa04750[Inflammatory mediator regulation of TRP channels]&hsa04910[Insulin signaling pathway]&hsa04912[GnRH signaling pathway]&hsa04914[Progesterone-mediated oocyte maturation]&hsa04917[Prolactin signaling pathway]&hsa04920[Adipocytokine signaling pathway]&hsa04926[Relaxin signaling pathway]&hsa04930[Type II diabetes mellitus]&hsa04931[Insulin resistance]&hsa04932[Non-alcoholic fatty liver disease (NAFLD)]&hsa04933[AGE-RAGE signaling pathway in diabetic complications]&hsa04935[Growth hormone synthesis, secretion and action]&hsa05010[Alzheimer disease]&hsa05012[Parkinson disease]&hsa05016[Huntington disease]&hsa05017[Spinocerebellar ataxia]&hsa05120[Epithelial cell signaling in Helicobacter pylori infection]&hsa05130[Pathogenic Escherichia coli infection]&hsa05131[Shigellosis]&hsa05132[Salmonella infection]&hsa05133[Pertussis]&hsa05135[Yersinia infection]&hsa05142[Chagas disease (American trypanosomiasis)]&hsa05145[Toxoplasmosis]&hsa05152[Tuberculosis]&hsa05161[Hepatitis B]&hsa05162[Measles]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05169[Epstein-Barr virus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05200[Pathways in cancer]&hsa05210[Colorectal cancer]&hsa05212[Pancreatic cancer]&hsa05231[Choline metabolism in cancer]&hsa05418[Fluid shear stress and atherosclerosis]	hsa01522[Endocrine resistance]&hsa04930[Type II diabetes mellitus]&hsa04931[Insulin resistance]&hsa04932[Non-alcoholic fatty liver disease (NAFLD)]&hsa04933[AGE-RAGE signaling pathway in diabetic complications]&hsa05010[Alzheimer disease]&hsa05012[Parkinson disease]&hsa05016[Huntington disease]&hsa05017[Spinocerebellar ataxia]&hsa05120[Epithelial cell signaling in Helicobacter pylori infection]&hsa05130[Pathogenic Escherichia coli infection]&hsa05131[Shigellosis]&hsa05132[Salmonella infection]&hsa05133[Pertussis]&hsa05135[Yersinia infection]&hsa05142[Chagas disease (American trypanosomiasis)]&hsa05145[Toxoplasmosis]&hsa05152[Tuberculosis]&hsa05161[Hepatitis B]&hsa05162[Measles]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05169[Epstein-Barr virus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05200[Pathways in cancer]&hsa05210[Colorectal cancer]&hsa05212[Pancreatic cancer]&hsa05231[Choline metabolism in cancer]&hsa05418[Fluid shear stress and atherosclerosis]
5602	MAPK10	JNK3|JNK3A|PRKM10|SAPK1b|p493F12|p54bSAPK	protein-coding	mitogen-activated protein kinase 10	hsa01522[Endocrine resistance]&hsa04010[MAPK signaling pathway]&hsa04012[ErbB signaling pathway]&hsa04014[Ras signaling pathway]&hsa04024[cAMP signaling pathway]&hsa04068[FoxO signaling pathway]&hsa04071[Sphingolipid signaling pathway]&hsa04137[Mitophagy - animal]&hsa04140[Autophagy - animal]&hsa04141[Protein processing in endoplasmic reticulum]&hsa04210[Apoptosis]&hsa04215[Apoptosis - multiple species]&hsa04217[Necroptosis]&hsa04310[Wnt signaling pathway]&hsa04380[Osteoclast differentiation]&hsa04510[Focal adhesion]&hsa04530[Tight junction]&hsa04620[Toll-like receptor signaling pathway]&hsa04621[NOD-like receptor signaling pathway]&hsa04622[RIG-I-like receptor signaling pathway]&hsa04625[C-type lectin receptor signaling pathway]&hsa04657[IL-17 signaling pathway]&hsa04658[Th1 and Th2 cell differentiation]&hsa04659[Th17 cell differentiation]&hsa04660[T cell receptor signaling pathway]&hsa04664[Fc epsilon RI signaling pathway]&hsa04668[TNF signaling pathway]&hsa04722[Neurotrophin signaling pathway]&hsa04723[Retrograde endocannabinoid signaling]&hsa04728[Dopaminergic synapse]&hsa04750[Inflammatory mediator regulation of TRP channels]&hsa04910[Insulin signaling pathway]&hsa04912[GnRH signaling pathway]&hsa04914[Progesterone-mediated oocyte maturation]&hsa04917[Prolactin signaling pathway]&hsa04920[Adipocytokine signaling pathway]&hsa04926[Relaxin signaling pathway]&hsa04930[Type II diabetes mellitus]&hsa04931[Insulin resistance]&hsa04932[Non-alcoholic fatty liver disease (NAFLD)]&hsa04933[AGE-RAGE signaling pathway in diabetic complications]&hsa04935[Growth hormone synthesis, secretion and action]&hsa05010[Alzheimer disease]&hsa05012[Parkinson disease]&hsa05016[Huntington disease]&hsa05017[Spinocerebellar ataxia]&hsa05120[Epithelial cell signaling in Helicobacter pylori infection]&hsa05130[Pathogenic Escherichia coli infection]&hsa05131[Shigellosis]&hsa05132[Salmonella infection]&hsa05133[Pertussis]&hsa05135[Yersinia infection]&hsa05142[Chagas disease (American trypanosomiasis)]&hsa05145[Toxoplasmosis]&hsa05152[Tuberculosis]&hsa05161[Hepatitis B]&hsa05162[Measles]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05169[Epstein-Barr virus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05200[Pathways in cancer]&hsa05210[Colorectal cancer]&hsa05212[Pancreatic cancer]&hsa05231[Choline metabolism in cancer]&hsa05418[Fluid shear stress and atherosclerosis]	hsa01522[Endocrine resistance]&hsa04930[Type II diabetes mellitus]&hsa04931[Insulin resistance]&hsa04932[Non-alcoholic fatty liver disease (NAFLD)]&hsa04933[AGE-RAGE signaling pathway in diabetic complications]&hsa05010[Alzheimer disease]&hsa05012[Parkinson disease]&hsa05016[Huntington disease]&hsa05017[Spinocerebellar ataxia]&hsa05120[Epithelial cell signaling in Helicobacter pylori infection]&hsa05130[Pathogenic Escherichia coli infection]&hsa05131[Shigellosis]&hsa05132[Salmonella infection]&hsa05133[Pertussis]&hsa05135[Yersinia infection]&hsa05142[Chagas disease (American trypanosomiasis)]&hsa05145[Toxoplasmosis]&hsa05152[Tuberculosis]&hsa05161[Hepatitis B]&hsa05162[Measles]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05169[Epstein-Barr virus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05200[Pathways in cancer]&hsa05210[Colorectal cancer]&hsa05212[Pancreatic cancer]&hsa05231[Choline metabolism in cancer]&hsa05418[Fluid shear stress and atherosclerosis]
5603	MAPK13	MAPK 13|MAPK-13|PRKM13|SAPK4|p38delta	protein-coding	mitogen-activated protein kinase 13	hsa01522[Endocrine resistance]&hsa04010[MAPK signaling pathway]&hsa04015[Rap1 signaling pathway]&hsa04068[FoxO signaling pathway]&hsa04071[Sphingolipid signaling pathway]&hsa04114[Oocyte meiosis]&hsa04218[Cellular senescence]&hsa04261[Adrenergic signaling in cardiomyocytes]&hsa04370[VEGF signaling pathway]&hsa04380[Osteoclast differentiation]&hsa04550[Signaling pathways regulating pluripotency of stem cells]&hsa04611[Platelet activation]&hsa04620[Toll-like receptor signaling pathway]&hsa04621[NOD-like receptor signaling pathway]&hsa04622[RIG-I-like receptor signaling pathway]&hsa04625[C-type lectin receptor signaling pathway]&hsa04657[IL-17 signaling pathway]&hsa04658[Th1 and Th2 cell differentiation]&hsa04659[Th17 cell differentiation]&hsa04660[T cell receptor signaling pathway]&hsa04664[Fc epsilon RI signaling pathway]&hsa04668[TNF signaling pathway]&hsa04670[Leukocyte transendothelial migration]&hsa04714[Thermogenesis]&hsa04722[Neurotrophin signaling pathway]&hsa04723[Retrograde endocannabinoid signaling]&hsa04728[Dopaminergic synapse]&hsa04750[Inflammatory mediator regulation of TRP channels]&hsa04912[GnRH signaling pathway]&hsa04914[Progesterone-mediated oocyte maturation]&hsa04917[Prolactin signaling pathway]&hsa04926[Relaxin signaling pathway]&hsa04933[AGE-RAGE signaling pathway in diabetic complications]&hsa04935[Growth hormone synthesis, secretion and action]&hsa05014[Amyotrophic lateral sclerosis (ALS)]&hsa05120[Epithelial cell signaling in Helicobacter pylori infection]&hsa05130[Pathogenic Escherichia coli infection]&hsa05131[Shigellosis]&hsa05132[Salmonella infection]&hsa05133[Pertussis]&hsa05135[Yersinia infection]&hsa05140[Leishmaniasis]&hsa05142[Chagas disease (American trypanosomiasis)]&hsa05145[Toxoplasmosis]&hsa05152[Tuberculosis]&hsa05161[Hepatitis B]&hsa05163[Human cytomegalovirus infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05169[Epstein-Barr virus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05205[Proteoglycans in cancer]&hsa05235[PD-L1 expression and PD-1 checkpoint pathway in cancer]&hsa05418[Fluid shear stress and atherosclerosis]	hsa01522[Endocrine resistance]&hsa04933[AGE-RAGE signaling pathway in diabetic complications]&hsa05014[Amyotrophic lateral sclerosis (ALS)]&hsa05120[Epithelial cell signaling in Helicobacter pylori infection]&hsa05130[Pathogenic Escherichia coli infection]&hsa05131[Shigellosis]&hsa05132[Salmonella infection]&hsa05133[Pertussis]&hsa05135[Yersinia infection]&hsa05140[Leishmaniasis]&hsa05142[Chagas disease (American trypanosomiasis)]&hsa05145[Toxoplasmosis]&hsa05152[Tuberculosis]&hsa05161[Hepatitis B]&hsa05163[Human cytomegalovirus infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05169[Epstein-Barr virus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05205[Proteoglycans in cancer]&hsa05235[PD-L1 expression and PD-1 checkpoint pathway in cancer]&hsa05418[Fluid shear stress and atherosclerosis]
56034	PDGFC	FALLOTEIN|SCDGF	protein-coding	platelet derived growth factor C	hsa01521[EGFR tyrosine kinase inhibitor resistance]&hsa04010[MAPK signaling pathway]&hsa04014[Ras signaling pathway]&hsa04015[Rap1 signaling pathway]&hsa04072[Phospholipase D signaling pathway]&hsa04151[PI3K-Akt signaling pathway]&hsa04510[Focal adhesion]&hsa04540[Gap junction]&hsa04810[Regulation of actin cytoskeleton]&hsa05215[Prostate cancer]&hsa05218[Melanoma]&hsa05231[Choline metabolism in cancer]	hsa01521[EGFR tyrosine kinase inhibitor resistance]&hsa05215[Prostate cancer]&hsa05218[Melanoma]&hsa05231[Choline metabolism in cancer]
5604	MAP2K1	CFC3|MAPKK1|MEK1|MKK1|PRKMK1	protein-coding	mitogen-activated protein kinase kinase 1	hsa01521[EGFR tyrosine kinase inhibitor resistance]&hsa01522[Endocrine resistance]&hsa04010[MAPK signaling pathway]&hsa04012[ErbB signaling pathway]&hsa04014[Ras signaling pathway]&hsa04015[Rap1 signaling pathway]&hsa04022[cGMP-PKG signaling pathway]&hsa04024[cAMP signaling pathway]&hsa04062[Chemokine signaling pathway]&hsa04066[HIF-1 signaling pathway]&hsa04068[FoxO signaling pathway]&hsa04071[Sphingolipid signaling pathway]&hsa04072[Phospholipase D signaling pathway]&hsa04114[Oocyte meiosis]&hsa04140[Autophagy - animal]&hsa04150[mTOR signaling pathway]&hsa04151[PI3K-Akt signaling pathway]&hsa04210[Apoptosis]&hsa04218[Cellular senescence]&hsa04270[Vascular smooth muscle contraction]&hsa04370[VEGF signaling pathway]&hsa04371[Apelin signaling pathway]&hsa04380[Osteoclast differentiation]&hsa04510[Focal adhesion]&hsa04540[Gap junction]&hsa04550[Signaling pathways regulating pluripotency of stem cells]&hsa04620[Toll-like receptor signaling pathway]&hsa04650[Natural killer cell mediated cytotoxicity]&hsa04660[T cell receptor signaling pathway]&hsa04662[B cell receptor signaling pathway]&hsa04664[Fc epsilon RI signaling pathway]&hsa04666[Fc gamma R-mediated phagocytosis]&hsa04668[TNF signaling pathway]&hsa04720[Long-term potentiation]&hsa04722[Neurotrophin signaling pathway]&hsa04725[Cholinergic synapse]&hsa04726[Serotonergic synapse]&hsa04730[Long-term depression]&hsa04810[Regulation of actin cytoskeleton]&hsa04910[Insulin signaling pathway]&hsa04912[GnRH signaling pathway]&hsa04914[Progesterone-mediated oocyte maturation]&hsa04915[Estrogen signaling pathway]&hsa04916[Melanogenesis]&hsa04917[Prolactin signaling pathway]&hsa04919[Thyroid hormone signaling pathway]&hsa04921[Oxytocin signaling pathway]&hsa04926[Relaxin signaling pathway]&hsa04928[Parathyroid hormone synthesis, secretion and action]&hsa04929[GnRH secretion]&hsa04934[Cushing syndrome]&hsa04935[Growth hormone synthesis, secretion and action]&hsa05010[Alzheimer disease]&hsa05020[Prion diseases]&hsa05034[Alcoholism]&hsa05132[Salmonella infection]&hsa05135[Yersinia infection]&hsa05160[Hepatitis C]&hsa05161[Hepatitis B]&hsa05163[Human cytomegalovirus infection]&hsa05164[Influenza A]&hsa05165[Human papillomavirus infection]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05200[Pathways in cancer]&hsa05205[Proteoglycans in cancer]&hsa05206[MicroRNAs in cancer]&hsa05210[Colorectal cancer]&hsa05211[Renal cell carcinoma]&hsa05212[Pancreatic cancer]&hsa05213[Endometrial cancer]&hsa05214[Glioma]&hsa05215[Prostate cancer]&hsa05216[Thyroid cancer]&hsa05218[Melanoma]&hsa05219[Bladder cancer]&hsa05220[Chronic myeloid leukemia]&hsa05221[Acute myeloid leukemia]&hsa05223[Non-small cell lung cancer]&hsa05224[Breast cancer]&hsa05225[Hepatocellular carcinoma]&hsa05226[Gastric cancer]&hsa05230[Central carbon metabolism in cancer]&hsa05231[Choline metabolism in cancer]&hsa05235[PD-L1 expression and PD-1 checkpoint pathway in cancer]	hsa01521[EGFR tyrosine kinase inhibitor resistance]&hsa01522[Endocrine resistance]&hsa04934[Cushing syndrome]&hsa05010[Alzheimer disease]&hsa05020[Prion diseases]&hsa05034[Alcoholism]&hsa05132[Salmonella infection]&hsa05135[Yersinia infection]&hsa05160[Hepatitis C]&hsa05161[Hepatitis B]&hsa05163[Human cytomegalovirus infection]&hsa05164[Influenza A]&hsa05165[Human papillomavirus infection]&hsa05166[Human T-cell leukemia virus 1 infection]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]&hsa05170[Human immunodeficiency virus 1 infection]&hsa05200[Pathways in cancer]&hsa05205[Proteoglycans in cancer]&hsa05206[MicroRNAs in cancer]&hsa05210[Colorectal cancer]&hsa05211[Renal cell carcinoma]&hsa05212[Pancreatic cancer]&hsa05213[Endometrial cancer]&hsa05214[Glioma]&hsa05215[Prostate cancer]&hsa05216[Thyroid cancer]&hsa05218[Melanoma]&hsa05219[Bladder cancer]&hsa05220[Chronic myeloid leukemia]&hsa05221[Acute myeloid leukemia]&hsa05223[Non-small cell lung cancer]&hsa05224[Breast cancer]&hsa05225[Hepatocellular carcinoma]&hsa05226[Gastric cancer]&hsa05230[Central carbon metabolism in cancer]&hsa05231[Choline metabolism in cancer]&hsa05235[PD-L1 expression and PD-1 checkpoint pathway in cancer]
